user_id,date,app_name,category,screen_time_min,launches,interactions,is_productive,youtube_views,youtube_likes,youtube_comments,extra_col_11,extra_col_12,extra_col_13,extra_col_14,extra_col_15,extra_col_16,extra_col_17,extra_col_18,extra_col_19,extra_col_20,extra_col_21,extra_col_22,extra_col_23
1051,2024-01-01 00:00:00.000000000,Camera,Utilities,24.53,2,7,False,,,,47.04,37.43,55.21,33.43,49.03,64.74,49.49,47.64,38.34,39.56,49.14,62.18,55.91
1088,2024-01-01 00:43:41.673891297,Chrome,Utilities,19.78,3,2,False,,,,65.22,50.02,35.8,44.06,49.4,66.63,62.1,47.64,51.88,42.35,55.86,45.96,46.69
1052,2024-01-01 01:27:23.347782594,Spotify,Entertainment,32.03,1,6,False,,,,46.88,57.43,57.65,55.18,41.87,54.84,65.59,61.28,49.51,41.11,55.53,44.13,71.01
1028,2024-01-01 02:11:05.021673891,Google Maps,Utilities,19.1,2,5,False,,,,44.15,49.34,47.13,59.39,47.87,54.68,56.14,63.98,46.75,46.98,40.15,48.11,50.09
1034,2024-01-01 02:54:46.695565188,Instagram,Social,25.19,1,5,False,,,,48.52,57.48,45.99,51.58,60.38,51.23,44.38,52.71,58.19,37.47,55.64,51.6,37.37
1064,2024-01-01 03:38:28.369456485,Chrome,Utilities,85.15,2,5,False,,,,38.67,49.96,45.13,39.72,49.51,46.77,64.65,56.46,54.96,77.01,54.29,44.74,30.51
1063,2024-01-01 04:22:10.043347782,Instagram,Social,4.37,0,5,False,,,,29.07,58.09,42.72,41.64,47.35,47.58,44.37,50.46,52.42,51.46,52.64,59.76,44.91
1095,2024-01-01 05:05:51.717239079,Camera,Utilities,57.35,2,5,False,,,,50.61,63.96,57.08,52.43,38.45,38.67,36.04,42.14,55.9,44.75,59.52,49.9,37.87
1060,2024-01-01 05:49:33.391130376,Instagram,Social,58.42,3,2,False,,,,55.62,33.4,54.7,41.59,41.69,44.76,62.96,56.71,51.15,62.9,43.87,69.96,47.37
1016,2024-01-01 06:33:15.065021673,Snapchat,Social,5.08,0,7,False,,,,55.88,55.8,28.77,47.32,54.31,65.51,61.68,62.45,49.79,53.38,70.39,27.47,56.65
1060,2024-01-01 07:16:56.738912970,Instagram,Social,36.16,5,4,False,,,,36.85,45.0,51.19,59.12,42.46,44.1,66.32,43.08,42.87,35.27,45.14,51.7,50.69
1044,2024-01-01 08:00:38.412804268,Twitch,Entertainment,6.18,5,7,False,,,,40.72,73.13,58.36,52.25,59.88,54.13,50.68,33.23,44.1,51.47,44.0,46.85,59.65
1065,2024-01-01 08:44:20.086695565,Instagram,Social,31.61,5,5,False,,,,35.18,53.53,47.71,39.24,31.0,49.99,57.78,46.2,44.72,49.29,50.9,46.74,58.3
1059,2024-01-01 09:28:01.760586862,Snapchat,Social,110.47,5,1,False,,,,61.09,43.69,45.59,50.76,42.65,58.13,25.33,50.39,50.74,60.87,43.62,41.84,51.24
1041,2024-01-01 10:11:43.434478159,Netflix,Entertainment,4.1,2,4,False,,,,41.25,54.88,59.08,64.26,54.6,50.26,50.25,58.44,57.18,39.96,51.58,61.1,57.54
1079,2024-01-01 10:55:25.108369456,Slack,Productivity,5.97,5,4,True,,,,49.0,55.05,53.81,53.53,58.53,30.59,33.69,48.6,54.97,40.65,53.67,48.32,57.59
1087,2024-01-01 11:39:06.782260753,Gmail,Utilities,19.5,4,3,False,,,,45.39,57.14,61.75,60.41,41.49,62.12,58.54,46.6,29.23,36.94,47.19,48.66,65.01
1003,2024-01-01 12:22:48.456152050,Google Docs,Productivity,33.26,3,5,True,,,,35.54,34.93,40.04,54.23,36.58,29.21,59.04,74.97,47.4,57.56,37.11,45.87,45.73
1041,2024-01-01 13:06:30.130043347,Instagram,Social,13.79,0,1,False,,,,73.31,70.75,46.5,50.36,55.93,57.79,62.38,38.19,65.13,64.86,43.38,65.26,53.99
1022,2024-01-01 13:50:11.803934644,Gmail,Utilities,21.07,2,3,False,,,,46.04,62.43,29.27,54.55,54.08,50.15,51.05,63.94,56.76,36.51,43.09,37.69,54.86
1093,2024-01-01 14:33:53.477825941,Gmail,Utilities,9.53,3,4,False,,,,36.51,70.57,42.19,40.13,46.0,37.55,45.51,41.38,39.86,52.9,41.53,71.38,53.5
1069,2024-01-01 15:17:35.151717239,Snapchat,Social,21.09,2,3,False,,,,56.81,41.84,60.83,50.87,33.87,43.76,37.23,69.65,53.26,42.94,58.51,63.26,50.33
1056,2024-01-01 16:01:16.825608536,Slack,Productivity,33.38,4,1,True,,,,57.59,62.19,66.58,58.05,48.32,61.8,67.78,46.48,47.3,28.2,51.15,48.51,25.48
